"","parent_location","country","sex","cause","cause_indicator","pollution_type","value","low_value","high_value"
"62","Africa","Angola","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",1.13,0.78,1.44
"63","Africa","Angola","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.72,0.54,0.83
"64","Africa","Angola","Male","Stroke","ENVCAUSE114","ambient",10.51,8.51,12.66
"65","Africa","Angola","Male","Stroke","ENVCAUSE114","ambient and household",20.74,17.19,24.51
"66","Africa","Angola","Male","Stroke","ENVCAUSE114","household",10.23,8.68,11.85
"67","Africa","Angola","Both sexes","Stroke","ENVCAUSE114","ambient",11.2,8.98,13.8
"68","Africa","Angola","Both sexes","Stroke","ENVCAUSE114","ambient and household",23.13,19.08,27.5
"69","Africa","Angola","Both sexes","Stroke","ENVCAUSE114","household",11.93,10.1,13.7
"70","Africa","Angola","Female","Stroke","ENVCAUSE114","ambient",11.68,9.25,14.55
"71","Africa","Angola","Female","Stroke","ENVCAUSE114","ambient and household",24.86,20.45,29.53
"72","Africa","Angola","Female","Stroke","ENVCAUSE114","household",13.18,11.2,14.98
"73","Africa","Angola","Female","Ischaemic heart disease","ENVCAUSE113","ambient",16.6,13.28,19.81
"74","Africa","Angola","Female","Ischaemic heart disease","ENVCAUSE113","ambient and household",31.83,26.55,37.11
"75","Africa","Angola","Female","Ischaemic heart disease","ENVCAUSE113","household",15.23,13.27,17.3
"76","Africa","Angola","Both sexes","Ischaemic heart disease","ENVCAUSE113","ambient",17.51,14.34,20.6
"77","Africa","Angola","Both sexes","Ischaemic heart disease","ENVCAUSE113","ambient and household",32.68,27.75,37.85
"78","Africa","Angola","Both sexes","Ischaemic heart disease","ENVCAUSE113","household",15.17,13.41,17.25
"79","Africa","Angola","Male","Ischaemic heart disease","ENVCAUSE113","ambient",18.33,15.25,21.33
"80","Africa","Angola","Male","Ischaemic heart disease","ENVCAUSE113","ambient and household",33.11,28.21,38.35
"81","Africa","Angola","Male","Ischaemic heart disease","ENVCAUSE113","household",14.78,12.96,17.02
"82","Africa","Angola","Female","Lower respiratory infections","ENVCAUSE039","ambient",19.47,12.72,26.58
"83","Africa","Angola","Female","Lower respiratory infections","ENVCAUSE039","ambient and household",45.99,37.43,53.77
"84","Africa","Angola","Female","Lower respiratory infections","ENVCAUSE039","household",26.52,24.71,27.19
"85","Africa","Angola","Both sexes","Lower respiratory infections","ENVCAUSE039","ambient",21.08,13.78,28.79
"86","Africa","Angola","Both sexes","Lower respiratory infections","ENVCAUSE039","ambient and household",48.76,39.56,57.17
"87","Africa","Angola","Both sexes","Lower respiratory infections","ENVCAUSE039","household",27.68,25.78,28.38
"88","Africa","Angola","Male","Lower respiratory infections","ENVCAUSE039","ambient",23.28,15.22,31.79
"89","Africa","Angola","Male","Lower respiratory infections","ENVCAUSE039","ambient and household",52.62,42.49,61.88
"90","Africa","Angola","Male","Lower respiratory infections","ENVCAUSE039","household",29.34,27.27,30.09
"91","Africa","Angola","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",5.67,3.12,8.75
"92","Africa","Angola","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",13.54,10.32,16.28
"93","Africa","Angola","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","household",7.87,7.2,7.53
"94","Africa","Angola","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",5.84,3.21,9
"95","Africa","Angola","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",13.13,9.7,16.32
"96","Africa","Angola","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","household",7.29,6.49,7.32
"97","Africa","Angola","Female","Total","ENVCAUSE000","ambient",53.61,41.32,66.14
"98","Africa","Angola","Female","Total","ENVCAUSE000","ambient and household",116.9,101,132.5
"99","Africa","Angola","Female","Total","ENVCAUSE000","household",63.29,59.68,66.36
"100","Africa","Angola","Both sexes","Total","ENVCAUSE000","ambient",55.92,43.03,69.05
"101","Africa","Angola","Both sexes","Total","ENVCAUSE000","ambient and household",118.5,101.9,134.7
"102","Africa","Angola","Both sexes","Total","ENVCAUSE000","household",62.58,58.87,65.65
"103","Africa","Angola","Male","Total","ENVCAUSE000","ambient",58.6,44.95,72.67
"104","Africa","Angola","Male","Total","ENVCAUSE000","ambient and household",120.2,102.3,137.2
"105","Africa","Angola","Male","Total","ENVCAUSE000","household",61.6,57.35,64.53
"106","Africa","Angola","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",6.07,3.34,9.37
"107","Africa","Angola","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",12.6,6.92,17.72
"108","Africa","Angola","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","household",6.53,3.58,8.35
"109","Africa","Benin","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.15,0.092,0.22
"110","Africa","Benin","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",0.53,0.43,0.61
"111","Africa","Benin","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.38,0.338,0.39
"112","Africa","Benin","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.18,0.11,0.25
"113","Africa","Benin","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",0.57,0.46,0.67
"114","Africa","Benin","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.39,0.35,0.42
"115","Africa","Benin","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.2,0.12,0.29
"116","Africa","Benin","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",0.62,0.47,0.75
"117","Africa","Benin","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.42,0.35,0.46
"118","Africa","Benin","Male","Stroke","ENVCAUSE114","ambient",15.5,13.02,18.32
"119","Africa","Benin","Male","Stroke","ENVCAUSE114","ambient and household",37.03,32.31,41.88
"120","Africa","Benin","Male","Stroke","ENVCAUSE114","household",21.53,19.29,23.56
"121","Africa","Benin","Both sexes","Stroke","ENVCAUSE114","ambient",16.06,13.27,19.3
"122","Africa","Benin","Both sexes","Stroke","ENVCAUSE114","ambient and household",40.28,35.05,45.5
"123","Africa","Benin","Both sexes","Stroke","ENVCAUSE114","household",24.22,21.78,26.2
"124","Africa","Benin","Female","Stroke","ENVCAUSE114","ambient",16.27,13.12,19.86
"125","Africa","Benin","Female","Stroke","ENVCAUSE114","ambient and household",42.22,36.23,48.14
"126","Africa","Benin","Female","Stroke","ENVCAUSE114","household",25.95,23.11,28.28
"127","Africa","Benin","Female","Ischaemic heart disease","ENVCAUSE113","ambient",20.36,16.38,24.14
"128","Africa","Benin","Female","Ischaemic heart disease","ENVCAUSE113","ambient and household",47.44,41.29,53.22
"129","Africa","Benin","Female","Ischaemic heart disease","ENVCAUSE113","household",27.08,24.91,29.08
"130","Africa","Benin","Both sexes","Ischaemic heart disease","ENVCAUSE113","ambient",22.8,18.84,26.62
"131","Africa","Benin","Both sexes","Ischaemic heart disease","ENVCAUSE113","ambient and household",51.39,45.49,57.46
"132","Africa","Benin","Both sexes","Ischaemic heart disease","ENVCAUSE113","household",28.59,26.65,30.84
"133","Africa","Benin","Male","Ischaemic heart disease","ENVCAUSE113","ambient",25.61,21.53,29.44
"134","Africa","Benin","Male","Ischaemic heart disease","ENVCAUSE113","ambient and household",55.73,49.4,62.31
"135","Africa","Benin","Male","Ischaemic heart disease","ENVCAUSE113","household",30.12,27.87,32.87
"136","Africa","Benin","Female","Lower respiratory infections","ENVCAUSE039","ambient",32.64,23.55,42.41
"137","Africa","Benin","Female","Lower respiratory infections","ENVCAUSE039","ambient and household",83.25,70.36,92.95
"138","Africa","Benin","Female","Lower respiratory infections","ENVCAUSE039","household",50.61,46.81,50.54
"139","Africa","Benin","Both sexes","Lower respiratory infections","ENVCAUSE039","ambient",37.01,26.7,48.08
"140","Africa","Benin","Both sexes","Lower respiratory infections","ENVCAUSE039","ambient and household",92.5,78.14,103.7
"141","Africa","Benin","Both sexes","Lower respiratory infections","ENVCAUSE039","household",55.49,51.44,55.62
"142","Africa","Benin","Male","Lower respiratory infections","ENVCAUSE039","ambient",42.83,30.9,55.65
"143","Africa","Benin","Male","Lower respiratory infections","ENVCAUSE039","ambient and household",104.8,88.32,118
"144","Africa","Benin","Male","Lower respiratory infections","ENVCAUSE039","household",61.97,57.42,62.35
"145","Africa","Benin","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",7.46,4.21,11.17
"146","Africa","Benin","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",19.73,16.03,22.42
"147","Africa","Benin","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","household",12.27,11.82,11.25
"148","Africa","Benin","Female","Total","ENVCAUSE000","ambient",76.89,63.73,90.94
"149","Africa","Benin","Female","Total","ENVCAUSE000","ambient and household",193.2,174.1,209.4
"150","Africa","Benin","Female","Total","ENVCAUSE000","household",116.31,110.37,118.46
"151","Africa","Benin","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",8.14,4.59,12.18
"152","Africa","Benin","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",20.29,15.62,23.88
"153","Africa","Benin","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","household",12.15,11.03,11.7
"154","Africa","Benin","Both sexes","Total","ENVCAUSE000","ambient",84.18,69.21,99.63
"155","Africa","Benin","Both sexes","Total","ENVCAUSE000","ambient and household",205,184.4,223
"156","Africa","Benin","Both sexes","Total","ENVCAUSE000","household",120.82,115.19,123.37
"157","Africa","Benin","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",9.15,5.17,13.71
"158","Africa","Benin","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",21.26,11.72,27.78
"159","Africa","Benin","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","household",12.11,6.55,14.07
"160","Africa","Benin","Male","Total","ENVCAUSE000","ambient",93.3,76.24,110.7
"161","Africa","Benin","Male","Total","ENVCAUSE000","ambient and household",219.5,195.3,241.1
"162","Africa","Benin","Male","Total","ENVCAUSE000","household",126.2,119.06,130.4
"163","Africa","Botswana","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.18,0.098,0.27
"164","Africa","Botswana","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",0.56,0.36,0.74
"165","Africa","Botswana","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.38,0.262,0.47
"166","Africa","Botswana","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.5,0.28,0.77
"167","Africa","Botswana","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",1.37,0.87,1.88
"168","Africa","Botswana","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.87,0.59,1.11
"169","Africa","Botswana","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.95,0.52,1.45
"170","Africa","Botswana","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",2.5,1.54,3.49
"171","Africa","Botswana","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","household",1.55,1.02,2.04
"172","Africa","Botswana","Female","Stroke","ENVCAUSE114","ambient",10.15,7.51,13.82
"173","Africa","Botswana","Female","Stroke","ENVCAUSE114","ambient and household",19.37,14.71,24.76
"174","Africa","Botswana","Female","Stroke","ENVCAUSE114","household",9.22,7.2,10.94
"175","Africa","Botswana","Both sexes","Stroke","ENVCAUSE114","ambient",10.6,8.1,13.92
"176","Africa","Botswana","Both sexes","Stroke","ENVCAUSE114","ambient and household",19.67,15.09,24.77
"177","Africa","Botswana","Both sexes","Stroke","ENVCAUSE114","household",9.07,6.99,10.85
"178","Africa","Botswana","Female","Lower respiratory infections","ENVCAUSE039","ambient",10.78,6.22,15.81
"179","Africa","Botswana","Female","Lower respiratory infections","ENVCAUSE039","ambient and household",25,18.09,31.82
"180","Africa","Botswana","Female","Lower respiratory infections","ENVCAUSE039","household",14.22,11.87,16.01
"181","Africa","Botswana","Male","Stroke","ENVCAUSE114","ambient",11.11,8.7,13.94
"182","Africa","Botswana","Male","Stroke","ENVCAUSE114","ambient and household",19.79,15.25,24.88
"183","Africa","Botswana","Male","Stroke","ENVCAUSE114","household",8.68,6.55,10.94
"184","Africa","Botswana","Both sexes","Lower respiratory infections","ENVCAUSE039","ambient",13.71,7.91,20.1
"185","Africa","Botswana","Both sexes","Lower respiratory infections","ENVCAUSE039","ambient and household",30.79,22.31,39.04
"186","Africa","Botswana","Both sexes","Lower respiratory infections","ENVCAUSE039","household",17.08,14.4,18.94
"187","Africa","Botswana","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",13.91,7.27,22.1
"188","Africa","Botswana","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",27.38,14.54,40.86
"189","Africa","Botswana","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","household",13.47,7.27,18.76
"190","Africa","Botswana","Male","Lower respiratory infections","ENVCAUSE039","ambient",18,10.38,26.39
"191","Africa","Botswana","Male","Lower respiratory infections","ENVCAUSE039","ambient and household",39.22,28.11,50.05
"192","Africa","Botswana","Male","Lower respiratory infections","ENVCAUSE039","household",21.22,17.73,23.66
"193","Africa","Botswana","Female","Ischaemic heart disease","ENVCAUSE113","ambient",18.45,14.25,22.6
"194","Africa","Botswana","Female","Ischaemic heart disease","ENVCAUSE113","ambient and household",31.92,24.14,39.98
"195","Africa","Botswana","Female","Ischaemic heart disease","ENVCAUSE113","household",13.47,9.89,17.38
"196","Africa","Botswana","Both sexes","Ischaemic heart disease","ENVCAUSE113","ambient",18.97,15.02,22.65
"197","Africa","Botswana","Both sexes","Ischaemic heart disease","ENVCAUSE113","ambient and household",32.16,24.55,39.85
"198","Africa","Botswana","Both sexes","Ischaemic heart disease","ENVCAUSE113","household",13.19,9.53,17.2
"199","Africa","Botswana","Male","Ischaemic heart disease","ENVCAUSE113","ambient",19.21,15.48,22.67
"200","Africa","Botswana","Male","Ischaemic heart disease","ENVCAUSE113","ambient and household",31.57,24.34,39.29
"201","Africa","Botswana","Male","Ischaemic heart disease","ENVCAUSE113","household",12.36,8.86,16.62
"202","Africa","Botswana","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",4.93,2.57,7.82
"203","Africa","Botswana","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",11.19,7.57,14.47
"204","Africa","Botswana","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","household",6.26,5,6.65
"205","Africa","Botswana","Female","Total","ENVCAUSE000","ambient",44.49,37.43,52.39
"206","Africa","Botswana","Female","Total","ENVCAUSE000","ambient and household",88.05,69.76,106.3
"207","Africa","Botswana","Female","Total","ENVCAUSE000","household",43.56,32.33,53.91
"208","Africa","Botswana","Both sexes","Total","ENVCAUSE000","ambient",52.11,43.34,61.93
"209","Africa","Botswana","Both sexes","Total","ENVCAUSE000","ambient and household",101.3,80.35,122.6
"210","Africa","Botswana","Both sexes","Total","ENVCAUSE000","household",49.19,37.01,60.67
"211","Africa","Botswana","Male","Total","ENVCAUSE000","ambient",63.17,51.61,76.13
"212","Africa","Botswana","Male","Total","ENVCAUSE000","ambient and household",120.4,94.41,147.1
"213","Africa","Botswana","Male","Total","ENVCAUSE000","household",57.23,42.8,70.97
"214","Africa","Botswana","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",8.33,4.35,13.23
"215","Africa","Botswana","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",17.31,11.28,23.37
"216","Africa","Botswana","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","household",8.98,6.93,10.14
"217","Africa","Burkina Faso","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.35,0.21,0.5
"218","Africa","Burkina Faso","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",1.18,0.96,1.37
"219","Africa","Burkina Faso","Female","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.83,0.75,0.87
"220","Africa","Burkina Faso","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.44,0.27,0.63
"221","Africa","Burkina Faso","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",1.39,1.1,1.64
"222","Africa","Burkina Faso","Both sexes","Trachea, bronchus, lung cancers","ENVCAUSE068","household",0.95,0.83,1.01
"223","Africa","Burkina Faso","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient",0.57,0.35,0.82
"224","Africa","Burkina Faso","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","ambient and household",1.7,1.29,2.05
"225","Africa","Burkina Faso","Male","Trachea, bronchus, lung cancers","ENVCAUSE068","household",1.13,0.94,1.23
"226","Africa","Burkina Faso","Male","Stroke","ENVCAUSE114","ambient",13.08,10.99,15.35
"227","Africa","Burkina Faso","Male","Stroke","ENVCAUSE114","ambient and household",30.59,26.33,34.86
"228","Africa","Burkina Faso","Male","Stroke","ENVCAUSE114","household",17.51,15.34,19.51
"229","Africa","Burkina Faso","Both sexes","Stroke","ENVCAUSE114","ambient",13.39,11.13,15.8
"230","Africa","Burkina Faso","Both sexes","Stroke","ENVCAUSE114","ambient and household",32.93,28.72,37.28
"231","Africa","Burkina Faso","Both sexes","Stroke","ENVCAUSE114","household",19.54,17.59,21.48
"232","Africa","Burkina Faso","Female","Stroke","ENVCAUSE114","ambient",13.48,11.05,16.01
"233","Africa","Burkina Faso","Female","Stroke","ENVCAUSE114","ambient and household",34.2,29.8,38.72
"234","Africa","Burkina Faso","Female","Stroke","ENVCAUSE114","household",20.72,18.75,22.71
"235","Africa","Burkina Faso","Female","Ischaemic heart disease","ENVCAUSE113","ambient",26.55,21.69,31.39
"236","Africa","Burkina Faso","Female","Ischaemic heart disease","ENVCAUSE113","ambient and household",60.68,53.18,68.17
"237","Africa","Burkina Faso","Female","Ischaemic heart disease","ENVCAUSE113","household",34.13,31.49,36.78
"238","Africa","Burkina Faso","Both sexes","Ischaemic heart disease","ENVCAUSE113","ambient",29.88,24.9,34.76
"239","Africa","Burkina Faso","Both sexes","Ischaemic heart disease","ENVCAUSE113","ambient and household",66.22,58.61,74.16
"240","Africa","Burkina Faso","Both sexes","Ischaemic heart disease","ENVCAUSE113","household",36.34,33.71,39.4
"241","Africa","Burkina Faso","Female","Lower respiratory infections","ENVCAUSE039","ambient",33.78,24.54,43.45
"242","Africa","Burkina Faso","Female","Lower respiratory infections","ENVCAUSE039","ambient and household",83.67,70.89,93.28
"243","Africa","Burkina Faso","Female","Lower respiratory infections","ENVCAUSE039","household",49.89,46.35,49.83
"244","Africa","Burkina Faso","Male","Ischaemic heart disease","ENVCAUSE113","ambient",34.25,28.94,39.44
"245","Africa","Burkina Faso","Male","Ischaemic heart disease","ENVCAUSE113","ambient and household",73.24,65.08,81.76
"246","Africa","Burkina Faso","Male","Ischaemic heart disease","ENVCAUSE113","household",38.99,36.14,42.32
"247","Africa","Burkina Faso","Both sexes","Lower respiratory infections","ENVCAUSE039","ambient",37.25,27.07,47.92
"248","Africa","Burkina Faso","Both sexes","Lower respiratory infections","ENVCAUSE039","ambient and household",90.49,76.52,101.1
"249","Africa","Burkina Faso","Both sexes","Lower respiratory infections","ENVCAUSE039","household",53.24,49.45,53.18
"250","Africa","Burkina Faso","Male","Lower respiratory infections","ENVCAUSE039","ambient",42.39,30.8,54.54
"251","Africa","Burkina Faso","Male","Lower respiratory infections","ENVCAUSE039","ambient and household",100.6,84.61,113.2
"252","Africa","Burkina Faso","Male","Lower respiratory infections","ENVCAUSE039","household",58.21,53.81,58.66
"253","Africa","Burkina Faso","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",5.55,3.15,8.26
"254","Africa","Burkina Faso","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",14.29,11.52,16.25
"255","Africa","Burkina Faso","Female","Chronic obstructive pulmonary disease","ENVCAUSE118","household",8.74,8.37,7.99
"256","Africa","Burkina Faso","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",6.23,3.54,9.26
"257","Africa","Burkina Faso","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",15.13,11.76,17.74
"258","Africa","Burkina Faso","Both sexes","Chronic obstructive pulmonary disease","ENVCAUSE118","household",8.9,8.22,8.48
"259","Africa","Burkina Faso","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient",7.37,4.19,10.96
"260","Africa","Burkina Faso","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","ambient and household",16.68,9.41,21.73
"261","Africa","Burkina Faso","Male","Chronic obstructive pulmonary disease","ENVCAUSE118","household",9.31,5.22,10.77
"262","Africa","Burkina Faso","Female","Total","ENVCAUSE000","ambient",79.71,66.09,93.73
"263","Africa","Burkina Faso","Female","Total","ENVCAUSE000","ambient and household",194,175.4,210.6
"264","Africa","Burkina Faso","Female","Total","ENVCAUSE000","household",114.29,109.31,116.87
"265","Africa","Burkina Faso","Both sexes","Total","ENVCAUSE000","ambient",87.19,71.82,102.9
